YEAR,LAT,LON,Month,Temperature,Date
2000,6.0,38.75,1,16.7,2000-01-01
2000,6.0,39.375,1,20.16,2000-01-01
2000,6.0,40.0,1,22.95,2000-01-01
2000,6.0,40.625,1,24.01,2000-01-01
2000,6.0,41.25,1,25.29,2000-01-01
2000,6.0,41.875,1,25.31,2000-01-01
2000,6.0,42.5,1,25.64,2000-01-01
2000,6.5,33.125,1,31.05,2000-01-01
2000,6.5,33.75,1,31.27,2000-01-01
2000,6.5,34.375,1,30.95,2000-01-01
2000,6.5,35.0,1,29.54,2000-01-01
2000,6.5,35.625,1,24.04,2000-01-01
2000,6.5,36.25,1,27.09,2000-01-01
2000,6.5,36.875,1,24.39,2000-01-01
2000,6.5,37.5,1,22.44,2000-01-01
2000,6.5,38.125,1,22.36,2000-01-01
2000,6.5,38.75,1,14.88,2000-01-01
2000,6.5,39.375,1,16.47,2000-01-01
2000,6.5,40.0,1,20.62,2000-01-01
2000,6.5,40.625,1,23.03,2000-01-01
2000,6.5,41.25,1,24.03,2000-01-01
2000,6.5,41.875,1,25.08,2000-01-01
2000,6.5,42.5,1,26.44,2000-01-01
2000,7.0,33.125,1,30.98,2000-01-01
2000,7.0,33.75,1,31.08,2000-01-01
2000,7.0,34.375,1,30.8,2000-01-01
2000,7.0,35.0,1,26.65,2000-01-01
2000,7.0,35.625,1,20.22,2000-01-01
2000,7.0,36.25,1,20.31,2000-01-01
2000,7.0,36.875,1,21.59,2000-01-01
2000,7.0,37.5,1,20.9,2000-01-01
2000,7.0,38.125,1,20.16,2000-01-01
2000,7.0,38.75,1,14.99,2000-01-01
2000,7.0,39.375,1,10.08,2000-01-01
2000,7.0,40.0,1,9.61,2000-01-01
2000,7.0,40.625,1,19.17,2000-01-01
2000,7.0,41.25,1,23.38,2000-01-01
2000,7.0,41.875,1,25.47,2000-01-01
2000,7.0,42.5,1,25.36,2000-01-01
2000,7.5,33.125,1,31.02,2000-01-01
2000,7.5,33.75,1,30.8,2000-01-01
2000,7.5,34.375,1,30.01,2000-01-01
