Year,Crop,Yield,NDVI,SolarRadiation,Temperature,Precipitation
2022,"Coffee, green",666.2,0.3997945404576315,20.619796296296297,23.84128289473684,2.697001096491228
2023,"Coffee, green",662.5,0.3377687776668285,20.889453703703705,23.89610471491228,3.697521929824561
2000,Maize (corn),1620.4,0.4000366126062417,21.225879629629627,24.21979440789473,1.6405756578947368
2001,Maize (corn),1742.7,0.4013978629736657,20.336212962962964,24.2402576754386,1.7678015350877192
2002,Maize (corn),1875.3,0.4005337405195422,20.73205555555556,24.66956962719298,1.6742379385964912
2003,Maize (corn),1531.9,0.4059611017604926,21.020925925925926,24.66050986842105,1.6336622807017545
2004,Maize (corn),1613.2,0.4054728818795264,21.042416666666664,24.621598135964916,1.579300986842105
2005,Maize (corn),2006.0,0.4074661173024027,21.24136111111111,24.504284539473684,1.7632264254385963
2006,Maize (corn),2640.4,0.4192054550436593,20.707398148148147,23.94276864035088,2.8751672149122807
2007,Maize (corn),1823.2,0.4227144484991257,21.02109259259259,23.810452302631575,2.5430509868421054
2008,Maize (corn),1883.4,0.3946315227729722,21.04637962962963,23.909931469298243,2.233177083333333
2009,Maize (corn),1984.9,0.3922208193226534,21.16241666666667,24.535254934210528,2.0412911184210527
2010,Maize (corn),2192.6,0.409681764639884,20.25435185185185,24.03391721491228,2.6240734649122808
2011,Maize (corn),2496.3,0.4036922310212352,20.994675925925925,24.257423245614035,1.8131222587719296
2012,Maize (corn),2593.3,0.4002515753260196,21.254175925925924,23.94925438596491,2.3384237938596493
2013,Maize (corn),2740.3,0.4125061194601273,20.725925925925925,23.693497807017547,2.848703399122807
2014,Maize (corn),2950.2,0.4145052372500049,20.847925925925924,23.76984923245614,2.861170504385965
2015,Maize (corn),2776.5,0.4073719097704716,21.474435185185182,24.19051260964912,2.55202850877193
2016,Maize (corn),2946.8,0.4017307415655542,21.02808333333333,24.006293859649123,2.909969846491228
2017,Maize (corn),3311.9,0.4042081481832799,21.146944444444443,24.01842653508772,2.8037719298245616
2018,Maize (corn),4190.4,0.4222797822941539,20.66687037037037,23.772184758771928,2.576825657894737
2019,Maize (corn),4236.8,0.4323547434514863,20.86773148148148,24.261724232456142,2.983086622807017
2020,Maize (corn),4240.4,0.4496177103483849,20.498231481481483,23.548656798245617,3.7571628289473686
2021,Maize (corn),4194.4,0.4171582996912342,20.920962962962964,23.701219846491227,3.3318146929824564
2022,Maize (corn),4000.0,0.3997945404576315,20.619796296296297,23.84128289473684,2.697001096491228
2023,Maize (corn),3921.6,0.3377687776668285,20.889453703703705,23.89610471491228,3.697521929824561
2000,"Mangoes, guavas and mangosteens",4545.5,0.4000366126062417,21.225879629629627,24.21979440789473,1.6405756578947368
2001,"Mangoes, guavas and mangosteens",5437.4,0.4013978629736657,20.336212962962964,24.2402576754386,1.7678015350877192
2002,"Mangoes, guavas and mangosteens",6250.0,0.4005337405195422,20.73205555555556,24.66956962719298,1.6742379385964912
2003,"Mangoes, guavas and mangosteens",5888.0,0.4059611017604926,21.020925925925926,24.66050986842105,1.6336622807017545
2004,"Mangoes, guavas and mangosteens",5189.5,0.4054728818795264,21.042416666666664,24.621598135964916,1.579300986842105
2005,"Mangoes, guavas and mangosteens",10135.0,0.4074661173024027,21.24136111111111,24.504284539473684,1.7632264254385963
2006,"Mangoes, guavas and mangosteens",9212.9,0.4192054550436593,20.707398148148147,23.94276864035088,2.8751672149122807
2007,"Mangoes, guavas and mangosteens",7196.0,0.4227144484991257,21.02109259259259,23.810452302631575,2.5430509868421054
2008,"Mangoes, guavas and mangosteens",7297.6,0.3946315227729722,21.04637962962963,23.909931469298243,2.233177083333333
2009,"Mangoes, guavas and mangosteens",7603.7,0.3922208193226534,21.16241666666667,24.535254934210528,2.0412911184210527
2010,"Mangoes, guavas and mangosteens",8738.5,0.409681764639884,20.25435185185185,24.03391721491228,2.6240734649122808
2011,"Mangoes, guavas and mangosteens",9028.7,0.4036922310212352,20.994675925925925,24.257423245614035,1.8131222587719296
2012,"Mangoes, guavas and mangosteens",7918.2,0.4002515753260196,21.254175925925924,23.94925438596491,2.3384237938596493
2013,"Mangoes, guavas and mangosteens",5897.2,0.4125061194601273,20.725925925925925,23.693497807017547,2.848703399122807
